種別,アクセスURL,ステータス,リダイレクト有無,リダイレクト先,canonical値,判定,備考
sitemap-misc,https://shira-treat.com/,200,なし,,https://shira-treat.com/,OK,
sitemap-misc,https://shira-treat.com/sitemap.html,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/countdown-tv/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/fns/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/maj/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/star/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/music-day/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/with-music/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/artist/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/timetable/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/tv-tokyo-music-festival/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/best-artist/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/best-hits-music-festival/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/music-station-2/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/release/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/record-awards/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/music-awards/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/kouhaku/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
category-sitemap,https://shira-treat.com/category/musictv/ongakunohi/,200,なし,,,不整合(canonicalタグなし),canonicalタグが検出できない
post-sitemap,https://shira-treat.com/record-awards-2024-guide/,200,なし,,https://shira-treat.com/record-awards-2024-guide/,OK,
post-sitemap,https://shira-treat.com/kohaku-history-timetable/,200,なし,,https://shira-treat.com/kohaku-history-timetable/,OK,
post-sitemap,https://shira-treat.com/besthit-2024-timetable/,200,なし,,https://shira-treat.com/besthit-2024-timetable/,OK,
post-sitemap,https://shira-treat.com/mstation-nov15-lineup/,200,あり,https://shira-treat.com/music-station-timetable/,https://shira-treat.com/music-station-timetable/,OK(301+自己参照canonical),https://shira-treat.com/mstation-nov15-lineup/ -> https://shira-treat.com/music-station-timetable/
post-sitemap,https://shira-treat.com/withmusic-nov16-timetable/,200,あり,https://shira-treat.com/with-music-timetable/,https://shira-treat.com/with-music-timetable/,OK(301+自己参照canonical),https://shira-treat.com/withmusic-nov16-timetable/ -> https://shira-treat.com/with-music-timetable/
post-sitemap,https://shira-treat.com/tvtokyo-1964-2024-timetable/,200,なし,,https://shira-treat.com/tvtokyo-1964-2024-timetable/,OK,
